Country,Year,Certification,Members
United States,2020,Associate,8025
Canada,2020,Associate,1685
Other,2020,Associate,2653
United States,2020,Fellow,12556
Canada,2020,Fellow,3422
Other,2020,Fellow,2894
United States,2019,Associate,8152
Canada,2019,Associate,1749
Other,2019,Associate,2755
United States,2019,Fellow,12398
Canada,2019,Fellow,3390
Other,2019,Fellow,2765
United States,2018,Associate,8534
Canada,2018,Associate,1926
Other,2018,Associate,3010
United States,2018,Fellow,12026
Canada,2018,Fellow,3287
Other,2018,Fellow,2540
United States,2017,Associate,7784
Canada,2017,Associate,1676
Other,2017,Associate,2391
United States,2017,Fellow,11728
Canada,2017,Fellow,3197
Other,2017,Fellow,2385
United States,2016,Associate,7367
Canada,2016,Associate,1648
Other,2016,Associate,2001
United States,2016,Fellow,11373
Canada,2016,Fellow,3121
Other,2016,Fellow,2260
United States,2015,Associate,6909
Canada,2015,Associate,1594
Other,2015,Associate,1790
United States,2015,Fellow,11028
Canada,2015,Fellow,3045
Other,2015,Fellow,2149
